Customer_ID,Customer_Acc,Age,Stated_Occupation,Location_State,Account_Tenure_Months,Account_Type,Avg_Balance
CUST_Fvoba,CACC_1FrMFg8,76,MANUFACTURE OF OTHER NON-METALLIC,Sabah,190,SA,133.49
CUST_H0bfW,CACC_L5wnYzh,49,COOKS,Negeri Sembilan,26,SA,100.0
CUST_3D1zR,CACC_nKvrVE8,50,AUDITOR,Sabah,188,SA,1389.85
CUST_MWceC,CACC_hJuq5uW,97,OTHER SERVICE ACTIVITIES,Pahang,218,CA,608.18
CUST_EdxLc,CACC_IqdUOip,94,RENTAL OF PERSONAL AND HOUSEHOLD GOODS,Melaka,201,SA,2814.97
CUST_rGTvz,CACC_ax0Y3RO,71,"EDUCATION, HEALTH AND OTHERS",Melaka,201,CA,620.68
CUST_xAxww,CACC_pdrRwic,55,DENTISTS,Kedah,37,CA,3696.18
CUST_Hbpod,CACC_1jEvjnj,59,EXECUTIVE,Selangor,192,CA,1261.55
CUST_lBVb8,CACC_NRZ90CO,83,SELF-EMPLOYED,WP KL,71,SA,116.35
CUST_SapHi,CACC_fw9pZZZ,83,"SALES, MARKETING & PUBLIC RELATIONS",Melaka,83,CA,686.58
CUST_GFvsr,CACC_csJ3f6J,54,"LIBRARIANS, ARCHIVISTS AND CURATORS",Perlis,110,CA,889.66
CUST_XOSqn,CACC_lW7FVHV,96,(BLANK),WP Labuan,121,SA,421.31
CUST_cQv8Q,CACC_wQswbtQ,17,GENERAL WORKER,Perak,218,CA,1911.35
CUST_crMsS,CACC_yjhKc1B,78,CHILDREN BELOW AGE,Sabah,161,CA,1443.22
CUST_TmIkF,CACC_omFuZwC,26,CHILDREN BELOW AGE,Melaka,82,SA,1527.39
CUST_IqGKk,CACC_xKS59kb,41,LANGUAGE TEACHERS,Selangor,74,CA,764.83
CUST_J7Zdc,CACC_wEFRepe,49,WAITER/WAITRESS,Melaka,139,SA,150.15
CUST_dyQ7U,CACC_hg0bRBW,84,SECONDARY EDUCATION TEACHERS,WP Labuan,133,CA,20895.32
