Customer_ID,Customer_Acc,Age,Stated_Occupation,Location_State,Account_Tenure_Months,Account_Type,Avg_Balance
CUST_Fvoba,CACC_1FrMFg8,76,MANUFACTURE OF OTHER NON-METALLIC,Sabah,190,SA,1606.42
CUST_H0bfW,CACC_L5wnYzh,49,COOKS,Negeri Sembilan,26,SA,1153.87
CUST_3D1zR,CACC_nKvrVE8,50,AUDITOR,Sabah,188,SA,215.34
CUST_MWceC,CACC_hJuq5uW,97,OTHER SERVICE ACTIVITIES,Pahang,218,CA,911.38
CUST_EdxLc,CACC_IqdUOip,94,RENTAL OF PERSONAL AND HOUSEHOLD GOODS,Melaka,201,SA,6455.57
CUST_rGTvz,CACC_ax0Y3RO,71,"EDUCATION, HEALTH AND OTHERS",Melaka,201,CA,8787.56
CUST_xAxww,CACC_pdrRwic,55,DENTISTS,Kedah,37,CA,1273.55
CUST_Hbpod,CACC_1jEvjnj,59,EXECUTIVE,Selangor,192,CA,1107.72
CUST_lBVb8,CACC_NRZ90CO,83,SELF-EMPLOYED,WP KL,71,SA,1523.73
CUST_SapHi,CACC_fw9pZZZ,83,"SALES, MARKETING & PUBLIC RELATIONS",Melaka,83,CA,2090.69
CUST_GFvsr,CACC_csJ3f6J,54,"LIBRARIANS, ARCHIVISTS AND CURATORS",Perlis,110,CA,194.24
CUST_XOSqn,CACC_lW7FVHV,96,(BLANK),WP Labuan,121,SA,1655.27
CUST_cQv8Q,CACC_wQswbtQ,17,GENERAL WORKER,Perak,218,CA,1714.04
CUST_crMsS,CACC_yjhKc1B,78,CHILDREN BELOW AGE,Sabah,161,CA,4132.13
CUST_TmIkF,CACC_omFuZwC,26,CHILDREN BELOW AGE,Melaka,82,SA,3705.75
CUST_IqGKk,CACC_xKS59kb,41,LANGUAGE TEACHERS,Selangor,74,CA,1268.98
CUST_J7Zdc,CACC_wEFRepe,49,WAITER/WAITRESS,Melaka,139,SA,1234.71
CUST_dyQ7U,CACC_hg0bRBW,84,SECONDARY EDUCATION TEACHERS,WP Labuan,133,CA,9330.24
CUST_SiTGp,CACC_pHRPott,94,ARCHITECT,Pahang,30,SA,566.1
CUST_48OOC,CACC_IihWTzc,82,REAL ESTATE ACTIVITIES,Pahang,52,SA,7729.61
CUST_nSmf4,CACC_P96LKhC,36,RENTAL OF PERSONAL AND HOUSEHOLD GOODS,WP Putrajaya,239,CA,2965.1
CUST_3Fu03,CACC_N3HgdTB,79,FINANCIAL AND INVESTMENT ADVISERS,Terengganu,101,CA,4287.75
CUST_2FtuX,CACC_QA66OBH,16,"RETAIL TRADE,EXCEPT OF MOTOR",WP Labuan,41,SA,1684.28
CUST_LWls2,CACC_CMRT9wT,97,CHILDREN BELOW AGE,Perlis,107,CA,3157.14
