Customer_ID,Customer_Acc,Age,Stated_Occupation,Location_State,Account_Tenure_Months,Account_Type,Avg_Balance
CUST_7Yl0o,CACC_mXx1SB9,18,PHARMACIST,Terengganu,108,CA,697398.29
CUST_JDMIK,CACC_GSNVaLN,87,RELIGIOUS TEACHERS,Kelantan,129,SA,761163.59
CUST_UR35Y,CACC_PGlTS5g,74,SECRETARY,Perlis,35,SA,370860.94
CUST_RnXCe,CACC_izR1bO5,50,CLERICAL,WP Labuan,189,SA,822779.34
CUST_lAXRi,CACC_ecsBEJd,59,SALES WORKERS NOT ELSEWHERE CLASSIF,Perak,58,CA,63910.87
CUST_Xm9bW,CACC_tizXjw2,59,STEWARD/STEWARDESS,WP KL,70,SA,758111.93
CUST_VkPAR,CACC_ffZ285j,73,HEALTH AND SOCIAL WORK,Kelantan,234,CA,778405.66
CUST_23q5P,CACC_EO1ee5L,90,MANUFACTURE OF OTHER NON-METALLIC,Melaka,90,CA,43899.39
CUST_M2dB5,CACC_5xXQk9C,59,"PUBLIC ADMINISTRATION & DEFENSE,",Sarawak,166,SA,967512.98
CUST_6no22,CACC_i6XnTpS,77,OTHER SERVICE ACTIVITIES,Pahang,218,CA,469608.86
CUST_HFXcx,CACC_OECScAO,81,ADMINISTRATIVE ASSOCIATE PROFESSION,Perak,35,SA,226986.66
CUST_oHvel,CACC_Z47L9u2,52,COMPANY DIRECTOR,Sabah,226,CA,832694.93
CUST_OV0Q7,CACC_pmp0Srw,66,"LIBRARIANS, ARCHIVISTS AND CURATORS",Kelantan,78,SA,804783.88
CUST_Eq2Qn,CACC_1cCEhbp,84,"MUSIC, ARTS AND PERFORMING ARTS TEACHERS",Pulau Pinang,216,CA,682527.25
CUST_rhson,CACC_UFs1FTW,67,"FORESTRY, LOGGING AND RELATED SERVI",WP KL,52,SA,786945.69
CUST_c0hLs,CACC_jZK1KN0,10,SECRETARY,Terengganu,116,SA,780750.96
CUST_vE6tE,CACC_xGxBmh9,60,"FINANCE, INSURANCE, REAL ESTATE AND",Perlis,139,CA,114618.62
CUST_xB19K,CACC_hoL5qYy,22,RENTAL OF PERSONAL AND HOUSEHOLD GOODS,Sabah,159,CA,565279.58
CUST_2n1d2,CACC_8qs6kUD,17,ARCHITECT,Selangor,154,SA,559251.24
CUST_E0BQS,CACC_eO0P4Ey,59,COMPUTER PROGRAMMER,Pahang,147,CA,436773.72
CUST_Ddhq2,CACC_qAP51yP,98,NON-EXECUTIVE,Pahang,101,SA,234016.09
CUST_F1GdO,CACC_pXaSQLV,86,SHIP ENGINEER,Kedah,206,CA,293664.4
CUST_CdaBk,CACC_9asCNty,49,MANUFACTURE OF TEXTILES,Kelantan,136,SA,664347.11
CUST_44iLK,CACC_qcIGp5K,80,OTHER SERVICE ACTIVITIES,Perak,103,SA,167056.22
CUST_wFWfT,CACC_aRQom9V,40,PRIMARY SCHOOL & EARLY CHILDHOOD TEACHERS,Kelantan,26,SA,461931.04
CUST_mHkRN,CACC_TwJWaiw,75,PROFESSIONAL GOV SOCIAL BENEFIT OFF,Melaka,217,SA,152396.87
CUST_oANai,CACC_ztOkdO6,54,"LIBRARIANS, ARCHIVISTS AND CURATORS",Perlis,110,CA,301581.94
CUST_eE5nr,CACC_LxmN0VP,44,SYSTEM ANALYSTS,Terengganu,148,CA,87741.15
CUST_K2rZz,CACC_1nRQkCZ,40,SERVICE AND SALES WORKERS,Pulau Pinang,232,CA,699737.16
CUST_FovjL,CACC_bmoamZa,91,COOKS,Negeri Sembilan,185,SA,778773.03
CUST_9xFxO,CACC_PrUqIdY,33,PROFESSIONAL GOV SOCIAL BENEFIT OFF,Sarawak,111,SA,96481.32
CUST_hY02e,CACC_KZNuyi4,34,SALES WORKERS NOT ELSEWHERE CLASSIF,WP Labuan,35,CA,202443.13
CUST_Mi3gp,CACC_5iwNLmz,74,ACCOUNTANTS,WP KL,141,SA,856628.62
CUST_etMLf,CACC_ztfGeGI,25,PRIMARY SCHOOL & EARLY CHILDHOOD TEACHERS,Sarawak,121,SA,432149.83
CUST_Ija2Z,CACC_5AkH9gD,37,TRANSPORT VIA RAILWAYS (MRS),Melaka,142,CA,84535.88
CUST_R2NEw,CACC_8qeoDmt,68,MANUFACTURE OF OTHER NON-METALLIC,Perak,190,CA,494041.42
CUST_0GCbH,CACC_64pkpfR,26,VOCATIONAL EDUCATION TEACHERS,Terengganu,39,SA,587685.81
CUST_GzERn,CACC_LOs51fu,19,COMPUTER PROGRAMMER,Melaka,75,SA,581103.03
CUST_NZWln,CACC_KiuFUab,50,ENGINEER,Terengganu,144,CA,958563.36
CUST_KRCC2,CACC_Zaqceqm,12,ACCOUNTANT,Perlis,115,SA,82821.73
CUST_n1D3h,CACC_JkGfTqP,34,PRODUCTION AND MANUFACTURING MANAGERS,Sabah,120,CA,571770.88
CUST_rmdgl,CACC_r9UvPUb,94,DOCTOR,Perlis,195,CA,331635.84
